"age" "gender" "weight" "height" "bpm_ave" "duration" "calories" "type" "fat" "water" "freq" "level" "bmi"
"88" 41 "Female" 55 1.55 169 1.45 1103 "Strength" 31.4 2 "4" "2" 22.89
"89" 28 "Male" 81.6 1.66 153 1.09 917 "Yoga" 20.5 3.5 "4" "2" 29.61
"90" 34 "Female" 75.6 1.6 130 0.64 416 "HIIT" 29.1 2.7 "2" "1" 29.53
"91" 25 "Male" 81.5 1.61 159 1.93 1688 "HIIT" 10.9 3.5 "4" "3" 31.44
"92" 52 "Female" 61.5 1.69 152 1.8 1231 "Cardio" 15.5 2.7 "4" "3" 21.53
"93" 52 "Male" 74 1.63 150 1.26 936 "Cardio" 25.7 3.7 "3" "2" 27.85
"94" 50 "Female" 56.4 1.59 163 1.26 924 "HIIT" 34.3 2.6 "3" "1" 22.31
"95" 22 "Male" 102.6 1.84 153 1.25 1052 "Strength" 20.5 2.7 "3" "2" 30.3
"96" 59 "Female" 54.6 1.57 169 0.58 441 "Cardio" 29.2 2.3 "3" "1" 22.15
"97" 56 "Male" 129 1.78 126 1.29 805 "Yoga" 27.1 2.7 "2" "1" 40.71
"98" 58 "Male" 103.5 1.66 168 1.33 1106 "Cardio" 24.6 3.1 "3" "1" 37.56
"99" 45 "Female" 59.4 1.51 142 1.15 735 "Strength" 33.1 1.9 "4" "2" 26.05
"100" 24 "Female" 60.1 1.79 165 1.97 1625 "Cardio" 15.9 2.7 "4" "3" 18.76
"101" 26 "Male" 77.7 1.62 126 1.16 804 "Yoga" 29.6 3 "3" "2" 29.61
"102" 25 "Female" 41.2 1.62 144 1.49 1073 "Yoga" 28.9 2.1 "4" "2" 15.7
"103" 29 "Male" 58.6 1.61 122 1.2 805 "Yoga" 23.4 2 "3" "2" 22.61
"104" 51 "Male" 109.3 1.78 157 0.54 420 "Strength" 28.7 3.3 "3" "1" 34.5
"105" 50 "Male" 69.6 1.96 139 0.97 667 "Strength" 25.6 2 "3" "1" 18.12
"106" 40 "Female" 56.2 1.79 153 1.79 1369 "Yoga" 17.6 2.7 "5" "3" 17.54
"107" 41 "Male" 71.7 1.96 168 0.51 424 "Yoga" 27.3 2.5 "2" "1" 18.66
"108" 54 "Male" 86 1.93 163 1.74 1404 "Strength" 12.9 3.5 "5" "3" 23.09
"109" 52 "Female" 79.4 1.59 163 1.39 1020 "Strength" 26.6 1.5 "3" "2" 31.41
"110" 57 "Female" 78.4 1.62 149 1.01 677 "Strength" 31.7 2 "4" "2" 29.87
"111" 39 "Female" 55.4 1.6 136 1.44 979 "HIIT" 26.3 1.6 "3" "2" 21.64
"112" 44 "Female" 61.7 1.55 129 1.41 819 "Strength" 33.1 2.6 "4" "2" 25.68
"113" 52 "Male" 85.5 1.82 154 1.78 1357 "Yoga" 14.9 3.5 "4" "3" 25.81
"114" 18 "Male" 87.6 1.93 139 1.72 1315 "HIIT" 11.9 3.5 "4" "3" 23.52
"115" 52 "Male" 82.4 1.72 137 1.01 685 "Strength" 24.4 2.7 "4" "2" 27.85
"116" 54 "Male" 67 1.68 164 0.55 446 "Yoga" 20.5 2.8 "3" "1" 23.74
"117" 31 "Female" 42.3 1.6 163 1.09 888 "Cardio" 25.1 1.9 "3" "2" 16.52
"118" 20 "Male" 82.7 1.99 146 1.69 1357 "HIIT" 14.6 3.5 "5" "3" 20.88
"119" 18 "Male" 92.4 1.74 168 1.41 1303 "Yoga" 21.3 3.1 "2" "1" 30.52
"120" 22 "Female" 63.2 1.54 155 1.02 790 "Cardio" 29.5 2.4 "4" "2" 26.65
"121" 43 "Male" 82.7 1.85 142 1.22 858 "Yoga" 28.2 3.1 "4" "2" 24.16
"122" 31 "Male" 86.6 1.76 151 1.29 1071 "Strength" 28.9 3.3 "3" "2" 27.96
"123" 56 "Male" 129.5 1.95 129 1 639 "Strength" 25.2 3.5 "2" "1" 34.06
"124" 44 "Male" 98 1.83 130 1.28 824 "Cardio" 25.7 3.5 "4" "2" 29.26
"125" 26 "Male" 86.2 1.68 157 1.97 1701 "Strength" 13.3 3.5 "5" "3" 30.54
"126" 32 "Male" 78.6 1.62 125 1.28 880 "Yoga" 29.6 3.1 "3" "1" 29.95
"127" 32 "Female" 59 1.66 160 0.51 408 "Cardio" 31 1.8 "2" "1" 21.41
"128" 43 "Female" 57.3 1.79 166 1.98 1479 "Yoga" 17.8 2.7 "4" "3" 17.88
"129" 59 "Male" 122.3 1.89 153 0.66 500 "Yoga" 20.1 3.1 "3" "1" 34.24
"130" 30 "Male" 85.3 1.95 155 1.61 1373 "Yoga" 10.4 3.5 "5" "3" 22.43
"131" 49 "Female" 45.2 1.74 156 1.24 870 "Strength" 30.8 2.1 "3" "2" 14.93
"132" 56 "Male" 55.6 1.92 136 0.68 458 "Strength" 29.4 3.2 "3" "1" 15.08
"133" 49 "Male" 82.8 1.95 159 1.91 1503 "Yoga" 14.3 3.5 "5" "3" 21.78
"134" 21 "Male" 125.2 1.66 159 1.38 1207 "HIIT" 29.8 3.4 "3" "2" 45.43
"135" 47 "Female" 58.5 1.79 131 1.42 837 "Yoga" 30.3 2.4 "4" "2" 18.26
"136" 54 "Male" 86.1 1.95 140 1.17 811 "Yoga" 27.9 3.4 "2" "1" 22.64
"137" 40 "Female" 63.5 1.61 159 1.31 1041 "Cardio" 33.4 1.6 "3" "2" 24.5
"138" 56 "Male" 69.3 1.68 138 0.66 451 "Yoga" 26.5 2.1 "2" "1" 24.55
"139" 32 "Female" 70.5 1.62 122 1.24 756 "Strength" 28.4 1.8 "2" "1" 26.86
"140" 46 "Female" 60.1 1.65 137 1.69 1042 "Cardio" 17.3 2.7 "4" "3" 22.08
"141" 53 "Male" 94.1 1.95 138 0.89 608 "HIIT" 28.6 3.5 "3" "1" 24.75
"142" 30 "Female" 79.2 1.62 166 1.26 1046 "Cardio" 28 2.5 "4" "2" 30.18
"143" 49 "Male" 115.3 1.91 125 1.38 854 "HIIT" 29.2 3.2 "2" "1" 31.61
"144" 24 "Female" 62.9 1.79 135 1.42 958 "Cardio" 27.3 2.3 "4" "2" 19.63
"145" 39 "Male" 62 1.64 127 0.97 678 "Cardio" 27.5 3.2 "3" "1" 23.05
"146" 45 "Male" 88.5 1.78 167 1.53 1265 "HIIT" 13.2 3.5 "4" "3" 27.93
"147" 19 "Female" 73.9 1.77 137 1.28 877 "Strength" 32.5 2.6 "3" "2" 23.59
"148" 59 "Male" 50.3 1.95 167 1.07 885 "Strength" 24.4 3.4 "3" "1" 13.23
"149" 23 "Male" 83.1 1.8 162 0.7 624 "Strength" 29.3 3.1 "3" "1" 25.65
"150" 45 "Female" 65.1 1.78 158 1.46 1038 "Cardio" 31.3 2.3 "3" "1" 20.55
"151" 45 "Male" 46.6 1.79 168 1.46 1214 "Yoga" 22.9 2.4 "3" "2" 14.54
"152" 37 "Male" 103.5 1.89 168 0.54 499 "Cardio" 26.4 3.1 "2" "1" 28.97
"153" 47 "Female" 61.9 1.54 131 1.95 1150 "Yoga" 16.4 2.7 "4" "3" 26.1
"154" 28 "Female" 52 1.61 164 1.32 1082 "Yoga" 27.9 2 "3" "2" 20.06
"155" 45 "Male" 113.4 1.71 129 0.83 530 "Strength" 24 2.3 "2" "1" 38.78
"156" 42 "Male" 62.9 1.98 126 1.42 886 "Yoga" 28.5 3.4 "4" "2" 16.04
"157" 56 "Female" 40.4 1.8 165 1.23 913 "Cardio" 30 2.1 "4" "2" 12.47
"158" 50 "Female" 67.1 1.75 120 0.67 362 "Cardio" 31.8 2.7 "3" "1" 21.91
"159" 18 "Male" 70 1.61 168 1.3 1201 "Strength" 23.9 2.5 "2" "1" 27.01
"160" 44 "Female" 69.5 1.75 155 1.02 711 "HIIT" 27.6 2.1 "3" "1" 22.69
"161" 30 "Male" 107.9 1.66 140 1.08 832 "Cardio" 29.5 2.8 "3" "2" 39.16
"162" 58 "Male" 109 1.91 156 1.49 1151 "Yoga" 26 2.2 "3" "2" 29.88
"163" 20 "Male" 101 1.91 143 1.36 1070 "Cardio" 29.3 2.7 "3" "2" 27.69
"164" 56 "Male" 88.5 1.85 144 1.57 1119 "Cardio" 11 3.5 "4" "3" 25.86
"165" 23 "Male" 80.9 1.8 126 1.55 1074 "Cardio" 10.7 3.5 "4" "3" 24.97
"166" 25 "Female" 43.1 1.62 161 1.04 837 "HIIT" 33.6 1.8 "4" "2" 16.42
"167" 44 "Female" 59.1 1.52 136 1.58 967 "Yoga" 18.4 2.7 "5" "3" 25.58
"168" 26 "Female" 54 1.53 148 1.14 844 "Strength" 26.9 1.7 "3" "1" 23.07
"169" 54 "Female" 72.3 1.78 149 1.27 852 "Cardio" 27.7 1.8 "2" "1" 22.82
"170" 50 "Male" 51.1 1.98 126 0.92 574 "Yoga" 28 2.4 "2" "1" 13.03
"171" 59 "Male" 89.4 1.72 152 1.08 813 "Yoga" 24.5 3.2 "3" "1" 30.22
"172" 41 "Male" 51.5 1.8 126 1.09 680 "Strength" 26.7 2.1 "4" "2" 15.9
"173" 32 "Male" 87.9 1.88 143 1.52 1195 "Cardio" 11.6 3.5 "5" "3" 24.87
"174" 49 "Female" 42 1.52 130 1.1 644 "HIIT" 28.8 2.2 "3" "1" 18.18
"175" 49 "Male" 79.2 1.72 128 1.46 925 "Yoga" 29.9 3.3 "3" "1" 26.77
"176" 41 "Male" 64.8 1.71 131 1.2 778 "Strength" 22.5 2.8 "3" "2" 22.16
"177" 58 "Female" 63 1.78 154 1.58 1095 "HIIT" 17.5 2.7 "4" "3" 19.88
"178" 29 "Female" 56.2 1.77 123 0.68 418 "Yoga" 33.4 2.6 "3" "1" 17.94
"179" 56 "Female" 52.9 1.64 155 1.1 767 "Cardio" 27.4 2.3 "3" "2" 19.67
"180" 19 "Female" 49 1.69 147 1.05 772 "Yoga" 29.2 2.4 "3" "1" 17.16
"181" 20 "Male" 128.2 1.84 132 0.83 603 "HIIT" 26.2 2.3 "3" "1" 37.87
"182" 54 "Male" 83.6 1.86 142 1.54 1082 "HIIT" 12.4 3.5 "5" "3" 24.16
"183" 34 "Female" 56.2 1.77 138 1.81 1249 "Cardio" 17.3 2.7 "5" "3" 17.94
"184" 19 "Male" 87.8 1.78 161 1.28 1133 "Cardio" 23.6 3.3 "2" "1" 27.71
"185" 19 "Male" 85.9 1.85 156 1.66 1424 "Strength" 12.9 3.5 "4" "3" 25.1
"186" 45 "Male" 51.1 1.87 158 1.44 1126 "Cardio" 26.2 3.4 "4" "2" 14.61
"187" 40 "Female" 57.4 1.71 143 1.87 1337 "Strength" 18.3 2.7 "5" "3" 19.63
"188" 54 "Male" 114.9 1.92 135 1.2 802 "HIIT" 20.7 2.6 "4" "2" 31.17
"189" 49 "Female" 62.1 1.66 152 1.37 937 "HIIT" 31.3 1.8 "3" "2" 22.54
"190" 50 "Male" 57.1 1.91 131 1.09 707 "Yoga" 29.5 2.7 "4" "2" 15.65
"191" 18 "Male" 68.1 1.8 153 1.1 926 "Yoga" 25.4 3.3 "4" "2" 21.02
"192" 36 "Male" 69.2 1.65 126 1.23 852 "Strength" 27.2 2.7 "3" "1" 25.42
"193" 19 "Female" 65.2 1.52 130 1.23 800 "Cardio" 30.6 2.4 "3" "1" 28.22
"194" 43 "Male" 108.6 1.73 150 1.33 988 "Cardio" 28.5 2.2 "2" "1" 36.29
"195" 49 "Female" 40 1.65 148 1.03 686 "Yoga" 34.3 2.5 "3" "2" 14.69
"196" 23 "Female" 41.9 1.58 132 0.56 370 "HIIT" 26.8 1.8 "3" "1" 16.78
"197" 49 "Female" 68.3 1.52 150 1.45 979 "Strength" 29.4 1.8 "4" "2" 29.56
"198" 21 "Male" 88.4 1.6 121 1.71 1138 "HIIT" 12 3.5 "4" "3" 34.53
"199" 28 "Male" 66 1.9 158 1.18 1025 "HIIT" 24.1 3 "3" "1" 18.28
"200" 34 "Male" 71.9 1.64 134 1.26 929 "Cardio" 21.3 2.1 "4" "2" 26.73
"201" 55 "Male" 75.6 1.71 130 1.03 663 "Strength" 28.1 2 "4" "2" 25.85
"202" 41 "Female" 63.4 1.59 153 1.84 1267 "HIIT" 15.2 2.7 "5" "3" 25.08
"203" 22 "Female" 71.6 1.77 158 1.49 1177 "Yoga" 30.3 1.8 "3" "1" 22.85
"204" 51 "Female" 57.4 1.77 123 1.08 598 "Yoga" 31.6 2.1 "4" "2" 18.32
"205" 23 "Male" 83.8 1.99 130 1.79 1280 "Cardio" 11 3.5 "4" "3" 21.16
"206" 39 "Female" 55.9 1.71 148 1.95 1443 "Yoga" 19.5 2.7 "5" "3" 19.12
"207" 28 "Male" 87 1.76 121 1.2 799 "Yoga" 28.4 3.5 "3" "2" 28.09
"208" 33 "Female" 65.3 1.71 135 1.18 796 "HIIT" 29.7 2.5 "4" "2" 22.33
"209" 50 "Male" 45.4 1.67 158 1.37 1071 "Yoga" 24.1 2.8 "4" "2" 16.28
"210" 26 "Male" 87.1 1.87 132 1.71 1241 "Yoga" 11.2 3.5 "4" "3" 24.91
"211" 23 "Female" 78.6 1.73 156 1.47 1147 "HIIT" 32.3 1.5 "4" "2" 26.26
"212" 33 "Female" 78 1.71 136 1.08 734 "Cardio" 26.3 2.1 "3" "1" 26.67
"213" 46 "Female" 58 1.53 140 1.83 1153 "Cardio" 18.4 2.7 "4" "3" 24.78
"214" 20 "Female" 71.3 1.69 163 1.28 1043 "Strength" 33.4 2.3 "3" "2" 24.96
"215" 37 "Male" 49.1 1.74 138 1.11 842 "Yoga" 22.3 2.6 "3" "2" 16.22
"216" 53 "Female" 78.3 1.65 126 1.24 703 "HIIT" 33.7 1.6 "3" "1" 28.76
"217" 36 "Female" 57.3 1.64 157 1.13 887 "Strength" 25.3 1.8 "4" "2" 21.3
"218" 43 "Female" 48.4 1.61 127 1.28 732 "Cardio" 34.1 2.4 "2" "1" 18.67
"219" 20 "Male" 76.4 1.62 132 1.35 980 "Cardio" 21.2 2.6 "4" "2" 29.11
"220" 36 "Male" 110.2 1.77 156 1.19 1021 "HIIT" 26.5 3.4 "2" "1" 35.18
"221" 37 "Female" 72.9 1.76 121 1.21 732 "Strength" 27.5 1.9 "3" "2" 23.53
"222" 49 "Male" 82.1 1.86 160 1.87 1481 "Strength" 14.2 3.5 "4" "3" 23.73
"223" 24 "Female" 58.9 1.76 130 0.63 410 "HIIT" 30.1 1.7 "3" "1" 19.01
"224" 58 "Male" 82.2 1.87 143 1.57 1111 "HIIT" 10.7 3.5 "4" "3" 23.51
"225" 50 "Male" 96.7 1.72 125 1.46 903 "Strength" 25.7 2.7 "3" "2" 32.69
"226" 57 "Male" 81.4 1.86 145 1.8 1292 "Cardio" 12 3.5 "5" "3" 23.53
"227" 56 "Male" 107.8 1.73 126 1.09 680 "Yoga" 26.6 2.8 "3" "2" 36.02
"228" 35 "Female" 65.8 1.62 158 1 790 "Cardio" 33.8 1.5 "4" "2" 25.07
"229" 57 "Female" 68.5 1.56 138 1.45 900 "HIIT" 29.1 1.6 "4" "2" 28.15
"230" 18 "Female" 63.9 1.59 125 1.87 1169 "Strength" 16.4 2.7 "4" "3" 25.28
"231" 28 "Male" 76.3 1.62 162 1.16 1034 "Strength" 20.1 2.3 "3" "2" 29.07
"232" 45 "Female" 44.5 1.65 148 1.44 959 "Yoga" 30.7 1.6 "3" "1" 16.35
"233" 42 "Female" 50.7 1.75 162 1.29 940 "Strength" 29 1.9 "3" "2" 16.56
"234" 40 "Female" 55.1 1.61 158 1.55 1224 "Yoga" 16.9 2.7 "4" "3" 21.26
"235" 48 "Male" 73.7 1.61 121 1.36 815 "Cardio" 21.8 3.6 "4" "2" 28.43
"236" 47 "Male" 55.6 1.77 138 1.2 820 "Cardio" 24.3 2.9 "4" "2" 17.75
"237" 59 "Male" 86.9 1.76 123 1.13 688 "Strength" 29.8 3.1 "3" "2" 28.05
"238" 52 "Female" 60.3 1.68 125 1.6 900 "Strength" 16.5 2.7 "4" "3" 21.36
"239" 24 "Female" 40.4 1.64 168 0.99 832 "HIIT" 31 1.9 "2" "1" 15.02
"240" 33 "Female" 78.5 1.66 156 1.29 1006 "HIIT" 32.8 1.9 "4" "2" 28.49
"241" 43 "Male" 102.6 1.72 147 0.82 597 "Strength" 27.5 2 "2" "1" 34.68
"242" 19 "Male" 110.8 1.91 149 1.31 1074 "Strength" 23.3 2.9 "2" "1" 30.37
"243" 18 "Female" 60.9 1.79 126 1.11 699 "Cardio" 31.1 2.1 "2" "1" 19.01
"244" 29 "Male" 55.7 1.61 128 1.41 993 "Strength" 28.7 2.3 "3" "1" 21.49
"245" 22 "Male" 110.5 1.92 144 1.16 919 "HIIT" 20.2 3.3 "3" "2" 29.98
"246" 54 "Male" 55.2 1.71 152 0.77 579 "Cardio" 24.4 2.8 "2" "1" 18.88
"247" 49 "Male" 46.5 1.72 120 1.4 832 "Yoga" 22.2 2.6 "4" "2" 15.72
"248" 26 "Female" 70.9 1.66 125 0.81 506 "HIIT" 28.9 1.7 "3" "1" 25.73
"249" 58 "Male" 74.6 1.75 137 1.09 739 "HIIT" 24.2 2.9 "2" "1" 24.36
"250" 52 "Male" 45.1 1.72 129 0.93 594 "Cardio" 27.5 3.3 "2" "1" 15.24
"251" 36 "Male" 99.9 1.99 147 1.33 1075 "Yoga" 20.9 2.5 "3" "1" 25.23
"252" 33 "Male" 117 1.61 130 1.04 744 "HIIT" 25.1 2.4 "3" "2" 45.14
"253" 20 "Female" 75.9 1.73 152 1.39 1056 "Strength" 30.6 2.1 "4" "2" 25.36
"254" 37 "Female" 71.2 1.64 120 1.11 666 "HIIT" 29.9 1.7 "3" "2" 26.47
"255" 41 "Male" 78.8 1.72 132 1.01 660 "Cardio" 27.3 3.1 "4" "2" 26.64
"256" 50 "Male" 50.6 1.69 156 1.31 1012 "Cardio" 23.8 3 "2" "1" 17.72
"257" 41 "Male" 82.5 1.79 139 1.69 1163 "Cardio" 14.7 3.5 "4" "3" 25.75
"258" 28 "Male" 108.5 1.79 120 1.33 878 "HIIT" 24.8 2.1 "4" "2" 33.86
"259" 25 "Male" 49.9 1.98 122 1.15 772 "Yoga" 25.7 2.1 "3" "2" 12.73
"260" 53 "Male" 125.1 1.91 137 0.52 353 "Strength" 28.3 3.1 "2" "1" 34.29
"261" 55 "Female" 79.7 1.66 160 1.06 763 "Cardio" 27.8 1.9 "2" "1" 28.92
"262" 57 "Male" 126.8 1.63 133 0.96 632 "Yoga" 20.8 2.1 "2" "1" 47.72
"263" 37 "Female" 54.6 1.57 150 1.31 982 "Strength" 32.1 2.4 "3" "1" 22.15
"264" 52 "Female" 47.8 1.54 146 1.34 880 "Cardio" 29.8 1.9 "3" "2" 20.16
